branch_name,review_text,star_rating,date
BPI Morayta-FEU Branch,When it comes to customer service one of your teller is very rude. I think you should send him to seminars to improve his attitude towards clients. He should also learn to tone down his voice and not to humiliate your client if they commit mistakes.,1,7 years ago
BPI Morayta-FEU Branch,Great location and staff. Fast deposit transaction. The sidewalks and frontage are very clean.,5,6 years ago
BPI Morayta-FEU Branch,Bank of the Philippine Islands 🌴 Automatic Teller Machine. Open twenty four hours a day. 😀💳💰 …,5,7 years ago
BPI Morayta-FEU Branch,It's quite helpful..  Hope make it more advance and make it fast to locate the location.,5,7 years ago
BPI Morayta-FEU Branch,WORST Customer Service Eveerrrrrrrrrrrrrrrrrrrrrrr!!!,1,6 years ago
BPI Morayta-FEU Branch,"Their customer service turnaround time is so slow. There is only one person taking care of it, and we know that when it comes to customer services, the transaction takes a long time, so why is there only one person tending? You will really make time for this. Too many delays are terrible.",1,9 months ago
BPI Morayta-FEU Branch,"Their service is so slow. It will take you a few minutes, worst, time just to ask a question that they don't answer in a few minutes. They are so slow. There are so many delays. Their service is so bad.",1,6 years ago
BPI Morayta-FEU Branch,,1,a year ago
BPI Morayta-FEU Branch,,1,5 years ago
BPI Morayta-FEU Branch,,1,6 years ago
BPI Morayta-FEU Branch,,1,6 years ago
BPI Morayta-FEU Branch,,4,7 years ago
BPI Morayta-FEU Branch,,5,7 years ago
BPI Corinthian Plaza Branch,"Best bank, not in my lifetime. They're marked as a Western Union location. I took a ticket and waited patiently, only to discover after speaking with lady behind the counter, I need another number and wait in line for customer service. …",1,2 years ago
BPI Corinthian Plaza Branch,"All mobile numbers are not inservice.
Landlines are not attended. Keeps on ringing.",1,3 years ago
BPI Corinthian Plaza Branch,love that this branch has parking and bank tellers are very efficient.,5,2 years ago
BPI Corinthian Plaza Branch,"All phone numbers cannot be reached.
Recent mobile numbers cannot be reached.
What is happening?",1,4 years ago
BPI Corinthian Plaza Branch,Accommodating bank tellers.,5,7 years ago
BPI Corinthian Plaza Branch,"no parking area,👎👎👎 …",1,2 years ago
BPI Corinthian Plaza Branch,,5,6 months ago
BPI Corinthian Plaza Branch,,5,a year ago
BPI Corinthian Plaza Branch,,4,a year ago
BPI Corinthian Plaza Branch,,5,4 years ago
BPI Corinthian Plaza Branch,,5,5 years ago
BPI Corinthian Plaza Branch,,5,5 years ago
BPI Corinthian Plaza Branch,,1,6 years ago
BPI Corinthian Plaza Branch,,5,7 years ago
BPI C3 A. Mabini Branch,"If I can give zero, I would have done it. Very bad experience with these branch. I opened a secured CC. After 2 months, no updates from them. They hold out my money with no interest.",1,8 months ago
BPI C3 A. Mabini Branch,"Nice People, accomodating Security guards very friendly and best bancassurance staff ever. Tellers has fastest transaction and customer service help solved my banking problems accurately and BM is very kind.",5,a year ago
BPI C3 A. Mabini Branch,"I was put on the long queue of new accounts even my transaction was only to redeem my card. Worst, I came first in line but the guard on duty gave queue numbers to the ladies (adding up +3 new accounts transaction) over me who just needed …",1,Edited 4 years ago
BPI C3 A. Mabini Branch,"SLOW QUEUEING, WASTED A LOT OF TIME. WORST",1,9 months ago
BPI C3 A. Mabini Branch,Walang lane for senior and pwd,1,a year ago
BPI C3 A. Mabini Branch,Up,4,8 years ago
BPI C3 A. Mabini Branch,"Poor customer service, they are still out so they didn't process the report

We arrived around 3 pm to report my girlfriend's BPI to Gcash issue because BPI …",1,a year ago
BPI C3 A. Mabini Branch,"You guys are so unprofessional at BPI Maypajo. You close at 5pm, my sister is here at 4:30 to reopen her account but you won't let her in! You're lazy!!! I'm calling you, just hang up on me!!! I'll be seeing you guys soon!",1,5 years ago
BPI C3 A. Mabini Branch,Today I had a very bad experience at Bpi C3 branch. The guard on duty is not so helpful and cooperative even the staff on that branch. Bad service. Just follow the number you give and you won't have to wait 30 minutes and the last number that will arrive will come first.,1,a year ago
BPI C3 A. Mabini Branch,"The customer service is unprofessional, I just inquired to settle my credit card account, without my consent they deducted my minimum due on the card, without even a notice or letter. …",1,4 years ago
BPI C3 A. Mabini Branch,Worst experience at the bank. Refused twice. Even the guard doesn't want to assist you.,1,3 years ago
BPI C3 A. Mabini Branch,The best! C3LICIOUS the beauty and the handsomeness of the staff. Also kind and helpful. You will not be left behind.,5,3 years ago
BPI C3 A. Mabini Branch,"Move slowly, you bastards.",1,6 months ago
BPI C3 A. Mabini Branch,The atm machine is often offline,4,8 years ago
BPI C3 A. Mabini Branch,,1,8 months ago
BPI C3 A. Mabini Branch,,5,a year ago
BPI C3 A. Mabini Branch,,5,a year ago
BPI C3 A. Mabini Branch,,1,2 years ago
BPI C3 A. Mabini Branch,,1,4 years ago
BPI C3 A. Mabini Branch,,1,4 years ago
BPI C3 A. Mabini Branch,,1,5 years ago
BPI C3 A. Mabini Branch,,1,5 years ago
BPI C3 A. Mabini Branch,,4,6 years ago
BPI C3 A. Mabini Branch,,3,9 years ago
BPI Caloocan Branch,Fake location in google map,1,2 months ago
BPI Caloocan Branch,Kinda small for a busy branch,3,Edited 8 years ago
BPI Caloocan Branch,"Bankong Pangmayaman ATM withdrawal minimum 1,000. I have reported to BSP. Rotten",1,10 months ago
BPI Caloocan Branch,It takes a while to process. Their number is not being followed yet.,1,a year ago
BPI Caloocan Branch,,5,a year ago
BPI Caloocan Branch,,1,2 years ago
BPI Caloocan Branch,,5,2 years ago
BPI Caloocan Branch,,5,2 years ago
BPI Caloocan Camarin Susano Branch,"Advice to future clients, opt for a different branch. The customer service here is the worst. The queue takes forever. Not an inch of urgency for simple requests like bank certificate and claiming a card replacement. It seems that the …",1,2 months ago
BPI Caloocan Camarin Susano Branch,"Very poor service — this is the worst banking experience I’ve ever had. Depositing money takes an incredibly long time. It feels like forever! They have three windows, but only one or two are actually open, and those are shared between …",1,a month ago
BPI Caloocan Camarin Susano Branch,"UPDATE: As of August 24, 2021
Visited today this branch, they already have second floor and 3 counters are available for deposits alone, which makes your visits and transactions faster than …",4,Edited 3 years ago
BPI Caloocan Camarin Susano Branch,"I had an awful experience at BPI Almar. The waiting time was unbelievably long, even though there were only a few people ahead of me. The staff seemed disorganized and moved at a frustratingly slow pace, making even simple transactions take …",1,5 months ago
BPI Caloocan Camarin Susano Branch,Just went to open an account but never got assisted. Waited for 4 hours but the teller said my number was already called and advised to get another number. I didn't even move from my sit and always looking at the monitor for my number. I …,1,11 months ago
BPI Caloocan Camarin Susano Branch,Poor service. It will take you more than 3hrs to transact. Been transacting here for a months now and still no improvement. No specific teller for Priority and the ones with coins transaction. Trash service! Not recommended. If it has negative stars I would rate it -100⭐️,1,11 months ago
BPI Caloocan Camarin Susano Branch,Super slow service. It took us around 2 hrs to withdraw since the atm is not working. Employees are not efficient enough to handle the long queue.,1,7 months ago
BPI Caloocan Camarin Susano Branch,If there is an option to rate this zero I would. The wait time is not acceptable,1,2 months ago
BPI Caloocan Camarin Susano Branch,"Poor customer management & time consuming to transact especially the counter for opening/closing accounts. You need to have a lot of patience to wait. I waited for 4 hours, very poor service regarding customer management. This is the …",1,2 years ago
BPI Caloocan Camarin Susano Branch,Will definitely not recommend. Super slow service. A lot of clients but they only have 1 teller. It took hours before your number gets called.,1,8 months ago
BPI Caloocan Camarin Susano Branch,Not following the MECQ rules. They don't allow employees with COE and ID to enter. …,1,4 years ago
BPI Caloocan Camarin Susano Branch,"too slow to accommodate clients,no order. not even a kiosk so we can choose transactions. inefficient,poor customer service. just requesting for bank cert and yet am out in the sun waiting in line for 2 hrs and counting. gonna close acct and transfer to other. with all these negative reviews, wala pa din aksyon.tsk worst bank ever",1,2 years ago
BPI Caloocan Camarin Susano Branch,"I opened a savings account years ago and opened a checking acct last year. It was a PERSONAL account and not for my biz. This year, they have been asking me to send my mayors permit, which I was, at the time, renewing. I submitted it thru …",1,2 years ago
BPI Caloocan Camarin Susano Branch,"Waited for more than 3 hours, understaffed. So disappointing

Are you even trying? …",1,a year ago
BPI Caloocan Camarin Susano Branch,Worst bpi branch. Just went there to claim debit. The line is not too long but the service is really slow due to understaffed. They could accomodate 1 person every 20-30 minutes while the other staff had overlunch.,1,a year ago
BPI Caloocan Camarin Susano Branch,At this moment I encountered lot of problems and malfunction on this branch. Only one machine is running that makes the line longer. I hope this will be solved after this pandemic.,4,Edited 4 years ago
BPI Caloocan Camarin Susano Branch,"Worst banking experience. Very slow. They were always offline, reason is only 1 officer available. My concern was just changing my contact number, I tried to go the other day, same reason! BPI Camarin is the slowest ever!.",1,a year ago
BPI Caloocan Camarin Susano Branch,"Worst banking experience. You have to wait for atleast 3 hours just to open an account. Waste of time. And, they often assist clients who have just arrived! I don't get it why they give queue when they don't follow it!",1,2 years ago
BPI Caloocan Camarin Susano Branch,"Kudos to Miss Mae Acosta for helping me opening my payroll account regardless of how tired she is, Still remain calm and have patience while assisting all clients including me. Di na sya nakapag lunch just to assist me because the Lady who …",5,2 years ago
BPI Caloocan Camarin Susano Branch,Always packed and only 2 lines open for deposit/withdraw/pay transactions. Takes up 30 minutes minimum to get what you came for. Opening an account here takes double time and only few seats are available. Youre lucky if u get seated. Please improve your customer service hotline. I have inquiries and they dont even answer in mail.,1,5 years ago
BPI Caloocan Camarin Susano Branch,"If there is a zero, I will rate it as zero, not even 1 star! Lack of tellers! Very slow service! If you want to waste your time, go to this branch! The worst!",1,a year ago
BPI Caloocan Camarin Susano Branch,"Yes. It doesn't matter if you go there early,  they will prioritize who they want and ALL their employees are unhelpful even the MANAGER. This branch has the poorest quality service I have encouraged so far.",1,3 years ago
BPI Caloocan Camarin Susano Branch,At least spare 2-3 hour of your time for any transaction before they accomodate you due to short of staff. 1 one teller on a 3 teller slots.,1,2 years ago
BPI Caloocan Camarin Susano Branch,"This BPI branch is not operating during quarantine time of course the machine is working, my father's atm card was stocked inside the atm machine for more than 1 month we can't make any report regarding this because the hotline and the …",3,5 years ago
