city,branch_name,address,latitude,longitude
Mandaluyong,Shaw Boulevard,"537 BCC Bldg. Shaw Blvd, Brgy. Wack Wack, Mandaluyong City 1552",,
Mandaluyong,Shaw Blvd Acacia Lane,"317 Shaw Blvd. near (Acacia Lane), Brgy. Hagdang Bato, Mandaluyong City 1550",14.5896606,121.0352623
Mandaluyong,Mandaluyong Libertad,"24 Libertad Corner Calbayog Sts., Brgy. Highway Hills, Mandaluyong City 1550",14.5812278,121.0487857
Mandaluyong,Greenhills EDSA,"G/F Hyatt Center, Ortigas Avenue, Brgy Wack Wack, Mandaluyong City 1550",14.594196,121.056483
Mandaluyong,Mandaluyong Greenfield District,"G/F Zitan Condominium 730 Shaw Boulevard corner Sto. Cristo Street, Greenfield District,Brgy. Highway Hills, Mandaluyong City 1550",,
Mandaluyong,SM Megamall,"G/F Bldg A SM Megamall, Bank Drive, Brgy. Wack-wack, Ortigas Center, Mandaluyong City 1550",14.5860657,121.0572051
Mandaluyong,Mandaluyong Barangka,"One Sulatan Tower, 1 Sulatan Street Corner Barangka Drive, Mandaluyong City 1550",14.5758539,121.042055
Mandaluyong,Shangri-La Shaw,Level 1 Main Wing Shangrila Plaza Mall EDSA cor Shaw Blvd Brgy Wack Wack Mandaluyong City 1552 NCR,14.5806531,121.0560305
Mandaluyong,Shaw - Mandaluyong,"Unit #6 Ground Floor Sunshine Square Bldg. Shaw Boulevard, Barangay Pleasant Hill, Mandaluyong City 1550",,
Mandaluyong,ADB,"Lower G/F Asian Development Bank, 6 ADB Avenue, Ortigas Center, Brgy. Wack wack, Mandaluyong City 1550",,
Mandaluyong,Mandaluyong,"G/F Mayflower Annex Building, 88 United St Greenfield District, Brgy. Highway Hills, Mandaluyong City 1550",14.5761732,121.0561194
Mandaluyong,Boni Avenue,"612 Boni Avenue cor Sikap St., Barangay Plainview Mandaluyong City 1550",14.5756661,121.0359617
