branch_name,review_text,star_rating,date,cleaned_text,bert_sentiment,rating_sentiment,bert_sentiment_analysis,rating_based_sentiment,branch_overall_sentiment,dataset_overall_sentiment
BPI Morayta-FEU Branch,When it comes to customer service one of your teller is very rude. I think you should send him to seminars to improve his attitude towards clients. He should also learn to tone down his voice and not to humiliate your client if they commit mistakes.,1,7 years ago,when it comes to customer service one of your teller is very rude. i think you should send him to seminars to improve his attitude towards clients. he should also learn to tone down his voice and not to humiliate your client if they commit mistakes.,Negative,Negative,Negative,Negative,Positive,Positive
BPI Morayta-FEU Branch,Great location and staff. Fast deposit transaction. The sidewalks and frontage are very clean.,5,6 years ago,great location and staff. fast deposit transaction. the sidewalks and frontage are very clean.,Positive,Positive,Positive,Positive,Positive,Positive
BPI Morayta-FEU Branch,Bank of the Philippine Islands 🌴 Automatic Teller Machine. Open twenty four hours a day. 😀💳💰 …,5,7 years ago,bank of the philippine islands  automatic teller machine. open twenty four hours a day.  ,Positive,Positive,Positive,Positive,Positive,Positive
BPI Morayta-FEU Branch,It's quite helpful..  Hope make it more advance and make it fast to locate the location.,5,7 years ago,its quite helpful.. hope make it more advance and make it fast to locate the location.,Positive,Positive,Positive,Positive,Positive,Positive
BPI Morayta-FEU Branch,WORST Customer Service Eveerrrrrrrrrrrrrrrrrrrrrrr!!!,1,6 years ago,worst customer service eveerrrrrrrrrrrrrrrrrrrrrrr!!!,Positive,Negative,Positive,Negative,Positive,Positive
BPI Morayta-FEU Branch,"Their customer service turnaround time is so slow. There is only one person taking care of it, and we know that when it comes to customer services, the transaction takes a long time, so why is there only one person tending? You will really make time for this. Too many delays are terrible.",1,9 months ago,"their customer service turnaround time is so slow. there is only one person taking care of it, and we know that when it comes to customer services, the transaction takes a long time, so why is there only one person tending? you will really make time for this. too many delays are terrible.",Negative,Negative,Negative,Negative,Positive,Positive
BPI Morayta-FEU Branch,"Their service is so slow. It will take you a few minutes, worst, time just to ask a question that they don't answer in a few minutes. They are so slow. There are so many delays. Their service is so bad.",1,6 years ago,"their service is so slow. it will take you a few minutes, worst, time just to ask a question that they dont answer in a few minutes. they are so slow. there are so many delays. their service is so bad.",Positive,Negative,Positive,Negative,Positive,Positive
BPI Morayta-FEU Branch,No review text provided,1,a year ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI Morayta-FEU Branch,No review text provided,1,5 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
BPI Morayta-FEU Branch,No review text provided,1,6 years ago,no review text provided,Negative,Negative,Negative,Negative,Positive,Positive
