record_type,id,branch_name,city,customer_id,date,rating,comment,tags,sentiment,overall_sentiment,branch_sentiment,overall_score,total_reviews,positive_feedback,neutral_feedback,negative_feedback,top_performer_branch,top_performer_score,needs_improvement_branch,needs_improvement_score,city_score,month,monthly_score
review,1.0,BPI Morayta-FEU Branch,Bpi,#N001,2025-07-28,32.0,When it comes to customer service one of your teller is very rude. I think you should send him to seminars to improve his attitude towards clients. He should also learn to tone down his voice and not ...,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,2.0,BPI Morayta-FEU Branch,Bpi,#N002,2025-08-05,95.0,Great location and staff. Fast deposit transaction. The sidewalks and frontage are very clean.,"Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,3.0,BPI Morayta-FEU Branch,Bpi,#N003,2025-08-03,86.0,Bank of the Philippine Islands 🌴 Automatic Teller Machine. Open twenty four hours a day. 😀💳💰 …,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,4.0,BPI Morayta-FEU Branch,Bpi,#N004,2025-08-06,94.0,It's quite helpful..  Hope make it more advance and make it fast to locate the location.,"Fast Service, Professional Staff",Positive,Neutral,Neutral,,,,,,,,,,,,
review,5.0,BPI Morayta-FEU Branch,Bpi,#N005,2025-08-15,87.0,WORST Customer Service Eveerrrrrrrrrrrrrrrrrrrrrrr!!!,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,6.0,BPI Morayta-FEU Branch,Bpi,#N006,2025-08-19,44.0,"Their customer service turnaround time is so slow. There is only one person taking care of it, and we know that when it comes to customer services, the transaction takes a long time, so why is there o...","Long Wait Time, Poor Service",Negative,Neutral,Neutral,,,,,,,,,,,,
review,7.0,BPI Morayta-FEU Branch,Bpi,#N007,2025-08-21,82.0,"Their service is so slow. It will take you a few minutes, worst, time just to ask a question that they don't answer in a few minutes. They are so slow. There are so many delays. Their service is so ba...",Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,8.0,BPI Morayta-FEU Branch,Bpi,#N008,2025-08-07,39.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,9.0,BPI Morayta-FEU Branch,Bpi,#N009,2025-08-01,23.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,10.0,BPI Morayta-FEU Branch,Bpi,#N010,2025-08-11,41.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,11.0,BPI Morayta-FEU Branch,Bpi,#N011,2025-07-27,32.0,No review text provided,Issues,Negative,Neutral,Neutral,,,,,,,,,,,,
review,12.0,BPI Morayta-FEU Branch,Bpi,#N012,2025-08-08,84.0,No review text provided,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
review,13.0,BPI Morayta-FEU Branch,Bpi,#N013,2025-08-08,88.0,No review text provided,Good Experience,Positive,Neutral,Neutral,,,,,,,,,,,,
